trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
426,False,"{'a': 0.30700000000000005, 'e': 0.27859393149960326}",20,0,16.494857973048063,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
427,False,"{'a': 0.3065, 'e': 0.2777594021250632}",35,14,23.453179215113302,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
428,False,"{'a': 0.30600000000000005, 'e': 0.2769273725870171}",20,0,6.4813708040566995,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
429,False,"{'a': 0.3055, 'e': 0.2760978353971936}",35,23,21.889772108634688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.30500000000000005, 'e': 0.27527078308975234}",30,3,-46.56803959626199,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 1}",1
431,False,"{'a': 0.3045, 'e': 0.27444620822121696}",20,0,-30.742946706594708,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
432,False,"{'a': 0.30400000000000005, 'e': 0.27362410337040804}",20,6,-30.911297632460343,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
433,False,"{'a': 0.3035, 'e': 0.2728044611383765}",25,20,8.939235259739474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.30300000000000005, 'e': 0.2719872741483365}",25,5,-28.45394709475211,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
435,False,"{'a': 0.3025, 'e': 0.2711725350455999}",20,13,11.586067312516748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.30200000000000005, 'e': 0.270360236497509}",25,0,-7.612462564727266,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
437,False,"{'a': 0.3015, 'e': 0.2695503711933716}",25,15,5.836197272718843,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
