trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.1599999999999994}",25,0,14.352889148299987,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.1399999999999994}",30,19,20.39267154094638,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.1199999999999994}",20,9,6.481705879712036,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.0999999999999994}",20,0,19.570650462131937,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.07999999999999939}",25,0,32.319330735327455,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.05999999999999939}",30,7,33.54655441705607,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.03999999999999938}",20,0,15.990965200033301,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,12,29.304853082509474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,34.8321611303713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-37.53400978229515,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,19,21.47914893038286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,33.31124020409515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,12,29.69947806160153,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,7,22.73106094869728,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,16.055300574867204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,26.277462276253274,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,22.59592993236717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,2,32.35198966441962,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,5,33.31068477107429,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,6,24.247020784872248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,12,26.934438336651294,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,29.98971824810004,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",30,8,34.13878417746407,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,6,28.65608664036238,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,0,34.49723977388506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,0,-9.688864189600908,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",30,16,16.19954768452333,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,0,34.49246446110274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0, 'e': 0}",30,0,46.8951569244432,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0, 'e': 0}",20,13,11.881695080698549,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,7,21.348593665387,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,2,-17.07282763347973,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,True,"{'a': 0, 'e': 0}",20,0,34.52901469299671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",35,3,41.75829856426783,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,0,29.56184200983739,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",30,0,5.3746947194182555,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
